1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
2158.wav|in biss-hmdrsch-gessil is heimlich gewen ; muchr-ssfrim'nihess mit beidlech seinen ongekumen zufohren, mit ferschiedene ssfrim, tchnuss'lech un ssdurim'leb, woss schmeken fun wrscheu, fun berditschew un fun reissen euch.|in biss-hmdrsch-gessil is heimlich gewen ; muchr-ssfrim'nihess mit beidlech seinen ongekumen zufohren, mit ferschiedene ssfrim, tchnuss'lech un ssdurim'leb, woss schmeken fun wrscheu, fun berditschew un fun reissen euch.
2159.wav|di chdr-iunglech hoben fun di ferdss eeen gerissen hor, gepeinigt di ferdlech un euf'n weg reussgefihrt zu reiten euf sei.|di chdr-iunglech hoben fun di ferdss eeen gerissen hor, gepeinigt di ferdlech un euf'n weg reussgefihrt zu reiten euf sei.
2160.wav|di muchrssfrim'nikess hoben in bissdsch gschueunt, hinter'n kassten schmuss, un tei sich gekocht wen ie chwnen.|di muchrssfrim'nikess hoben in bissdsch gschueunt, hinter'n kassten schmuss, un tei sich gekocht wen ie chwnen.
2161.wav|sei hoben euf lnge tischen di ssfrim ferspreit, schlech hoben fun di mamess taschen gerissen euf ssdurim'leb, euf schrmle, un welche iudische mame wet dem bissen fun meul nischt arschen un ihr iungel euf ssfr'l, euf ssdur'l a por grar en nischt geben?|sei hoben euf lnge tischen di ssfrim ferspreit, schlech hoben fun di mamess taschen gerissen euf ssdurim'leb, euf schrmle, un welche iudische mame wet dem bissen fun meul nischt arschen un ihr iungel euf ssfr'l, euf ssdur'l a por grar en nischt geben?
2162.wav|seinen ongekumen in stedtil rein ferschiedene krnke zum dbi'n zufohren: a iud mit a dbuk, woss kreht fun ihm a hohn reuss ; a weibel mit beuch-kwitscher ; ferschiedene iuden mit ferschiedene chlim, ieder mit an ander pekel ; un pluzlung noch einer, din-turh hoben mit a gestorbenem, woss lost ihm nischt bei nacht ruhen, un kumt ihm rufen zum biss-din schlmelh ; doss gnze stertil kumt sich zuleufen, heren dem teuten deden fun hinter dem for.hang.|seinen ongekumen in stedtil rein ferschiedene krnke zum dbi'n zufohren: a iud mit a dbuk, woss kreht fun ihm a hohn reuss ; a weibel mit beuch-kwitscher ; ferschiedene iuden mit ferschiedene chlim, ieder mit an ander pekel ; un pluzlung noch einer, din-turh hoben mit a gestorbenem, woss lost ihm nischt bei nacht ruhen, un kumt ihm rufen zum biss-din schlmelh ; doss gnze stertil kumt sich zuleufen, heren dem teuten deden fun hinter dem for.hang.
2163.wav|un euf di urchim ligt epess a steub ferspreit, a steub ful mit mehaltene ssuduss, der steub, woss ligt iber alte, hei lige ssfrim, un ess dcht sich, s ess is ergez wu frn iudische usslt, a iudisch leches, greisser iidischer biss-hmdrsch un doss gnze iudische folk lebt in greussen kassten schmuss, beheucht mit heili-|un euf di urchim ligt epess a steub ferspreit, a steub ful mit mehaltene ssuduss, der steub, woss ligt iber alte, hei lige ssfrim, un ess dcht sich, s ess is ergez wu frn iudische usslt, a iudisch leches, greisser iidischer biss-hmdrsch un doss gnze iudische folk lebt in greussen kassten schmuss, beheucht mit heili-
2164.wav|gen eub, un euf dem ligt eussgegossen doss iudische chg'el do iudische heimlichkeit, benkenisch.|gen eub, un euf dem ligt eussgegossen doss iudische chg'el do iudische heimlichkeit, benkenisch.
2165.wav|a schehner, heler tog.|a schehner, heler tog.
2166.wav|di weiber sizen dum di schwelen fr seiere thiren un striken soken un motlen gl seu in der welt arein.|di weiber sizen dum di schwelen fr seiere thiren un striken soken un motlen gl seu in der welt arein.
2167.wav|fun ergez wu heuf schwimt in mark reuss doss kul fun kleine kinderlech, woss sizen in chdr un rnen d heilige turh, un a iuene dermont sl woss in der chinh eht geschriben: in schuss fun di kschine, unschuldge kererlech, wo hoben getun di helslech eussstreken. di sun sch men scheun nischt seu in himel on wi euf er er, di ren blondsen in mark arum langweilig, wi ungebetene get un plglung derhert sich schufr blossch.|fun ergez wu heuf schwimt in mark reuss doss kul fun kleine kinderlech, woss sizen in chdr un rnen d heilige turh, un a iuene dermont sl woss in der chinh eht geschriben: in schuss fun di kschine, unschuldge kererlech, wo hoben getun di helslech eussstreken. di sun sch men scheun nischt seu in himel on wi euf er er, di ren blondsen in mark arum langweilig, wi ungebetene get un plglung derhert sich schufr blossch.
2168.wav|hoss kul zitert is der lut fsn stertil un ferzitert klein un greuss.|hoss kul zitert is der lut fsn stertil un ferzitert klein un greuss.
2169.wav|seinen di weiber fr di schuelen fun seie heier gssen ; un dort eine hot sich ihr weiss schleifel, ihr rsch-chulur bil eufgeziert, seinen fuhen fr di mien ongekumen zupohdes, un weite muhmess, weite schwessmekiner, woss seinen ergee in der fremd, seinen ongekumen mit seiere ticher un essmesch euf kbrbuss, eufzusuchen seiere teute tess, seiere teute mess, euf'n alten biss-hkbruss.|seinen di weiber fr di schuelen fun seie heier gssen ; un dort eine hot sich ihr weiss schleifel, ihr rsch-chulur bil eufgeziert, seinen fuhen fr di mien ongekumen zupohdes, un weite muhmess, weite schwessmekiner, woss seinen ergee in der fremd, seinen ongekumen mit seiere ticher un essmesch euf kbrbuss, eufzusuchen seiere teute tess, seiere teute mess, euf'n alten biss-hkbruss.
2170.wav|un doss biss-hkbruss liegt eussgespreit a ganz scher euf'n barg, behalten is iede mzbh hinter ihr beum.|un doss biss-hkbruss liegt eussgespreit a ganz scher euf'n barg, behalten is iede mzbh hinter ihr beum.
2171.wav|nschh hemer beum, un le kuken sei in stedtil runter.|nschh hemer beum, un le kuken sei in stedtil runter.
2172.wav|ieder b fun sein dur in di ssbibh fun seine beli-bssim fun sein zeit euf an anderen punkt fun guten ort.|ieder b fun sein dur in di ssbibh fun seine beli-bssim fun sein zeit euf an anderen punkt fun guten ort.
2173.wav|kum, los men zehlen di duruss, d matess fun stedtil!|kum, los men zehlen di duruss, d matess fun stedtil!
2174.wav|teil nemen fun di gestorbene heren sich noch zwischen di lebedige.|teil nemen fun di gestorbene heren sich noch zwischen di lebedige.
2175.wav|wer ess hot sein nomen ibergelost euf steiner un helze-, wer euf gessil un wer euf heuf: r' iuchnssch, r' mh'ss heuf-, un nei-kasmer beut sich euf neie heiser oun ess schmehen euf nie beli-bssim.|wer ess hot sein nomen ibergelost euf steiner un helze-, wer euf gessil un wer euf heuf: r' iuchnssch, r' mh'ss heuf-, un nei-kasmer beut sich euf neie heiser oun ess schmehen euf nie beli-bssim.
2176.wav|stil is euf'n bimm.|stil is euf'n bimm.
2177.wav|fun essez hiner a mzbch, woss is ferworfen hiner'n miartschet a beie kaz areuss, fun ergez wu schikt|fun essez hiner a mzbch, woss is ferworfen hiner'n miartschet a beie kaz areuss, fun ergez wu schikt
2178.wav|a mschugener hund seine stohl-kazene eugen her.|a mschugener hund seine stohl-kazene eugen her.
2179.wav|der stodtbchur mit sein harem zigen beleken di mzbuss, un a stiler, beiser wind klapt di zweigen fun di beuter.|der stodtbchur mit sein harem zigen beleken di mzbuss, un a stiler, beiser wind klapt di zweigen fun di beuter.
2180.wav|dort un do seinen lebedige ferborgen zwischen di mzbuss un a stil gewein geht euf fun zwischen dem heuchen, wilden gros, welcher ferspreit sein bisshkbruss-geschmak un men weisst nischt, zi doss gewein kumt fun di teute oder fun di lebedige.|dort un do seinen lebedige ferborgen zwischen di mzbuss un a stil gewein geht euf fun zwischen dem heuchen, wilden gros, welcher ferspreit sein bisshkbruss-geschmak un men weisst nischt, zi doss gewein kumt fun di teute oder fun di lebedige.
2181.wav|dort fihrt chnh-ssssr di bir hkbruss-iuene, di eltesste fun der stodt a weibel, un weist on ihr, wu ihr foter'ss beiner ruhen.|dort fihrt chnh-ssssr di bir hkbruss-iuene, di eltesste fun der stodt a weibel, un weist on ihr, wu ihr foter'ss beiner ruhen.
2182.wav|un em chsn'ss kwitscherlech, zwischen ein l-ml-rchmim un dem zweiten, klapen ob fun di heuche beuer di kleine epelech, doss woss kehr sich fun khl on zu sei.|un em chsn'ss kwitscherlech, zwischen ein l-ml-rchmim un dem zweiten, klapen ob fun di heuche beuer di kleine epelech, doss woss kehr sich fun khl on zu sei.
2183.wav|un densstmol is ongekumen der rz-ischrl-id noch dem rz-ischrl-geld, woss is gewen in di puschkess, woss hoben gehangen euf di thiren bei di msususs in ieden iudischen heus, un wuhin iede mame hot zu licht-zinden reingelegt licht-geld.|un densstmol is ongekumen der rz-ischrl-id noch dem rz-ischrl-geld, woss is gewen in di puschkess, woss hoben gehangen euf di thiren bei di msususs in ieden iudischen heus, un wuhin iede mame hot zu licht-zinden reingelegt licht-geld.
2184.wav|wi a schoten is er ongekumen.|wi a schoten is er ongekumen.
2185.wav|a heucher, darer ir mit a bleich ium-chpur'dig pnim, un woss in sein heuchen, gekneitschen stern is gewen a tiefer ssud eussgegossen.|a heucher, darer ir mit a bleich ium-chpur'dig pnim, un woss in sein heuchen, gekneitschen stern is gewen a tiefer ssud eussgegossen.
2186.wav|der ssud, fr woss mir seinen seu lang in gluss.|der ssud, fr woss mir seinen seu lang in gluss.
2187.wav|der ssud, wen mschich wet kumen.|der ssud, wen mschich wet kumen.
2188.wav|a iud fun iene iuden, woss mir gleuben, s sei seinen ergez-wu do, nor mir weissen nischt wu ; a iud fun iene iuden, woss dersehendik sei, dermonen mir sich on epess.|a iud fun iene iuden, woss mir gleuben, s sei seinen ergez-wu do, nor mir weissen nischt wu ; a iud fun iene iuden, woss dersehendik sei, dermonen mir sich on epess.
2189.wav|a ferborgene getreischt weht in unsere herzer, un mir fihlen sich, s mir geheren zu wemen.|a ferborgene getreischt weht in unsere herzer, un mir fihlen sich, s mir geheren zu wemen.
2190.wav|an rz ischrl-iud in a weissen, atlessenem chalat mit lange schwarze puss.|an rz ischrl-iud in a weissen, atlessenem chalat mit lange schwarze puss.
2191.wav|er sizt is biss-hmdsch, is behalten winkele, rum ihm hoben sich zusmengekliben por alte iuden, r' mschch dud schmuss-iud, woss hot euf sich genumen di mzuh di schmuss euf'n guten-ort br zu sein.|er sizt is biss-hmdsch, is behalten winkele, rum ihm hoben sich zusmengekliben por alte iuden, r' mschch dud schmuss-iud, woss hot euf sich genumen di mzuh di schmuss euf'n guten-ort br zu sein.
2192.wav|r' ieih wolf, r' noe, di woss sien euf er elter in biss-hmd ; lte beli-bssim fun der chbrh thilim, mschh rbinu'ss leib-gwrdie un dud hmlch'ss gute freind.|r' ieih wolf, r' noe, di woss sien euf er elter in biss-hmd ; lte beli-bssim fun der chbrh thilim, mschh rbinu'ss leib-gwrdie un dud hmlch'ss gute freind.
2193.wav|sei hoben scheun lng in der-heim tchrichim ongegreit, mit seklech rz-|sei hoben scheun lng in der-heim tchrichim ongegreit, mit seklech rz-
2194.wav|ischrl-erd.|ischrl-erd.
2195.wav|un di lte iuden horchen euss woss der rz-ischrliud derzehlt fun der lter mamen.|un di lte iuden horchen euss woss der rz-ischrliud derzehlt fun der lter mamen.
2196.wav|iuden kuken euf ihm.|iuden kuken euf ihm.
2197.wav|in di kneitschen fun sein kapoe halt sich rz-ischrl-steub euf, der steub woss weht iber diheilige heilige kbrim, iber di mame rchl'ss kbr.|in di kneitschen fun sein kapoe halt sich rz-ischrl-steub euf, der steub woss weht iber diheilige heilige kbrim, iber di mame rchl'ss kbr.
2198.wav|un doss halt in sich euf a stumen, lieben ssud, fun weit.|un doss halt in sich euf a stumen, lieben ssud, fun weit.
2199.wav|fun sein pekil hot er stiklech kalch reussgenumen, woss er alein hot obgekrischelt fun dem chussl hmerbi: alein dort gewen, merib mit a mnin iuden gedwent. iuden nehmen di krier kelech kalch in hand rein, tuen sich on di eiserne brilen, un betrachten: stiklech kalch fun dem chussl-hmerbi, fun bisshmkdsch.|fun sein pekil hot er stiklech kalch reussgenumen, woss er alein hot obgekrischelt fun dem chussl hmerbi: alein dort gewen, merib mit a mnin iuden gedwent. iuden nehmen di krier kelech kalch in hand rein, tuen sich on di eiserne brilen, un betrachten: stiklech kalch fun dem chussl-hmerbi, fun bisshmkdsch.
2200.wav|fun biss-hmkdsch is doss, doss stikel kalch, fun densstmol noch.|fun biss-hmkdsch is doss, doss stikel kalch, fun densstmol noch.
2201.wav|dem chhn gdul gesehn, gesehen iuden euli-rgl sein, kumen on mit krbnuss kein iruschlim.|dem chhn gdul gesehn, gesehen iuden euli-rgl sein, kumen on mit krbnuss kein iruschlim.
2202.wav|fun sein pekil nehmt er reuss erd.|fun sein pekil nehmt er reuss erd.
2203.wav|erd fun der mame rchl'm kbr.|erd fun der mame rchl'm kbr.
2204.wav|dort gewen, euf'n weg kein frss, wi ess steht in chumsch, suu iekb binu hot unser mame rchl'n begroben, euf'n weg kein biss-lchm, fun kbr hot er erd robgenumen.|dort gewen, euf'n weg kein frss, wi ess steht in chumsch, suu iekb binu hot unser mame rchl'n begroben, euf'n weg kein biss-lchm, fun kbr hot er erd robgenumen.
2205.wav|un iuden bekuken di erd fun di alte kbrim, fun der mame rchl'ss kbr, woss iekb binu, unser tate iekb, hot mit seine eigene hend begroben.|un iuden bekuken di erd fun di alte kbrim, fun der mame rchl'ss kbr, woss iekb binu, unser tate iekb, hot mit seine eigene hend begroben.
2206.wav|un a stime sogt in harz:|un a stime sogt in harz:
2207.wav|uni, un ich hob nischt seu getun, bbui mpch, un in mein tun kumen fun pdn, mssh eli rchl is dein mme rchl euf mir gestorben, bre chnen meint men in rz-ischrl, bdrch euf'n weg, beud chbrss rz ess is hoch gewen tchum-schbss, lbu frssh, reinzukumen kein frss, ukbrnh schm: sogt rschi: un doch hob ich si nischt reingebrcht kein frss, as ich sol si begroben in rz-ischrl ; bistu doch beis euf mir ; sog ich dir, as ess is gewen el pi hdbur: s nbusrdn wet iuden in gluss-treiben, wet di mame rchl fun kbr reussgehn, un beten fr sei rchmim, aseu wi ess steht in pssuk: kul brmh nschme.|uni, un ich hob nischt seu getun, bbui mpch, un in mein tun kumen fun pdn, mssh eli rchl is dein mme rchl euf mir gestorben, bre chnen meint men in rz-ischrl, bdrch euf'n weg, beud chbrss rz ess is hoch gewen tchum-schbss, lbu frssh, reinzukumen kein frss, ukbrnh schm: sogt rschi: un doch hob ich si nischt reingebrcht kein frss, as ich sol si begroben in rz-ischrl ; bistu doch beis euf mir ; sog ich dir, as ess is gewen el pi hdbur: s nbusrdn wet iuden in gluss-treiben, wet di mame rchl fun kbr reussgehn, un beten fr sei rchmim, aseu wi ess steht in pssuk: kul brmh nschme.
2208.wav|wet got si treiss-|wet got si treiss-
2209.wav|ten, wi ess steht in pssuk: eusch schchr lfeulssch: ess is do beleunung zu dein mih.|ten, wi ess steht in pssuk: eusch schchr lfeulssch: ess is do beleunung zu dein mih.
2210.wav|un di lte.|un di lte.
2211.wav|thliss'dige.|thliss'dige.
2212.wav|beli-bssim hoben sich ferbenkt.|beli-bssim hoben sich ferbenkt.
2213.wav|un wu nischt wu un iuen nischt wen hot a tehrtropen euf dem brilen-scheibel gekpet.|un wu nischt wu un iuen nischt wen hot a tehrtropen euf dem brilen-scheibel gekpet.
2214.wav|ess is geworen frnacht.|ess is geworen frnacht.
2215.wav|fun an ander land hot a kalter seund geweht in gss.|fun an ander land hot a kalter seund geweht in gss.
2216.wav|dort un do hot sich an alter bel-hbiss gewisen in sein winter-palto ; winter scheun gemacht, mit an arobgelosten kop in biss-hmdrsch gegangen, mnchh chwnen.|dort un do hot sich an alter bel-hbiss gewisen in sein winter-palto ; winter scheun gemacht, mit an arobgelosten kop in biss-hmdrsch gegangen, mnchh chwnen.
2217.wav|schneider-un-schusster-geselen hoben wekgeworfen di chul-hmued'ige steklech, mit welche sei hoben spazirt in di sseder, in di gertner, un mit schehne meidlech liebess gefihrt, un seinen, wi alte, mit di ssdurim in di hend in biss-hmdrsch gegangen, a kapitel thlim sogen zwischen mnchh un merib.|schneider-un-schusster-geselen hoben wekgeworfen di chul-hmued'ige steklech, mit welche sei hoben spazirt in di sseder, in di gertner, un mit schehne meidlech liebess gefihrt, un seinen, wi alte, mit di ssdurim in di hend in biss-hmdrsch gegangen, a kapitel thlim sogen zwischen mnchh un merib.
2218.wav|rsch chudsch lul.|rsch chudsch lul.
2219.wav|fun di kleine gewelblech falen reuss greusse passen lit fun kleine deucherdige lempelech un ferfrum n doss gessil.|fun di kleine gewelblech falen reuss greusse passen lit fun kleine deucherdige lempelech un ferfrum n doss gessil.
2220.wav|der hiel in ein seit brent in reut-helen gihnum'dig beier: men brent, men brot dort di rscheim, un seier stromendik blut falt arein in di flakerss feier un gliht un flakert.|der hiel in ein seit brent in reut-helen gihnum'dig beier: men brent, men brot dort di rscheim, un seier stromendik blut falt arein in di flakerss feier un gliht un flakert.
2221.wav|fun der zweiter seit ziht sich a ruhiger, frumer, ernsster wolken, iberlegt sich mit an ernsster, frumer mne, woss er tut, gleich wi in ihm wolten fertrikent geworen d trehren fun di gute mlochim, woss weinen euf di rscheim'ss beiskeit.|fun der zweiter seit ziht sich a ruhiger, frumer, ernsster wolken, iberlegt sich mit an ernsster, frumer mne, woss er tut, gleich wi in ihm wolten fertrikent geworen d trehren fun di gute mlochim, woss weinen euf di rscheim'ss beiskeit.
2222.wav|un er nehmt arum un beschizt doss stedtel, wi ess wolt geheissen: eich nit!|un er nehmt arum un beschizt doss stedtel, wi ess wolt geheissen: eich nit!
2223.wav|in gss, zwischen di beumer, is leidik un leer, ess weist sich nischt kein bchur, nischt kein bssulh, lte, frume weiber reiben di hend on di thiren fun seiere gewelber, un fergleisen di eugen zum himel un entferen ob omn noch'n krisch, woss hert sich fun biss-hmdrsch reuss.|in gss, zwischen di beumer, is leidik un leer, ess weist sich nischt kein bchur, nischt kein bssulh, lte, frume weiber reiben di hend on di thiren fun seiere gewelber, un fergleisen di eugen zum himel un entferen ob omn noch'n krisch, woss hert sich fun biss-hmdrsch reuss.
